x, y_actual, y_predicted
4.84274,9.03004,8.73518
5.50132,8.88132,9.62277
4.12166,7.75849,7.76337
8.02149,12.7587,13.0192
4.83709,8.65788,8.72757
3.84597,6.15205,7.39182
0.297084,2.27616,2.60892
0.742532,2.91517,3.20925
6.33818,11.9174,10.7506
4.36983,7.89022,8.09783
0.81582,2.87876,3.30803
4.9228,8.7159,8.84308
2.59426,6.13014,5.70486
5.07901,8.34237,9.05361
4.52709,10.0139,8.30978
4.39285,9.33817,8.12886
0.408624,2.05269,2.75924
3.39594,7.40828,6.7853
10.6769,14.2068,16.598
3.45522,6.81612,6.8652
5.72267,10.3173,9.92108
4.98052,8.98193,8.92087
1.75124,5.24216,4.56871
3.0349,6.14963,6.29872
4.06754,6.99054,7.69043
9.30161,15.2023,14.7445
8.77366,12.7926,14.033
0.99222,3.39471,3.54576
4.17689,5.811,7.83781
5.9403,10.9144,10.2144
0.728507,4.87004,3.19035
7.91209,13.5034,12.8718
6.87132,12.2883,11.4691
5.26338,11.0311,9.30209
9.29951,14.038,14.7417
6.67753,10.5765,11.208
9.33314,14.3109,14.787
1.33671,3.56444,4.01004
5.96382,10.0156,10.2461
4.56568,8.03255,8.36179
2.98564,7.12056,6.23233
8.35883,14.8993,13.4739
4.01882,8.83095,7.62477
5.92744,11.1621,10.1971
7.32326,10.4949,12.0782
5.89946,9.98162,10.1593
9.46856,14.7541,14.9695
5.0635,9.50855,9.03271
3.44805,7.09945,6.85553
7.06502,11.3649,11.7302
7.17584,12.2537,11.8795
7.45639,10.5252,12.2577
5.73893,11.4287,9.943
6.84929,12.5604,11.4395
4.46374,8.3808,8.2244
0.870157,2.23834,3.38126
3.93512,8.8939,7.51197
6.04613,9.43665,10.357
2.0556,4.41333,4.9789
4.03962,6.67973,7.6528
8.39511,13.6461,13.5228
8.20548,13.7392,13.2672
0.824734,1.48465,3.32004
3.12297,7.37302,6.41742
0.43441,3.39106,2.79399
0.358022,2.08448,2.69104
4.23751,8.32291,7.9195
4.89917,9.78791,8.81124
0.838309,2.8529,3.33833
8.32088,13.557,13.4227
9.73877,15.8565,15.3337
1.25437,4.40929,3.89907
2.19997,6.46105,5.17347
4.92352,9.68644,8.84405
3.95566,5.58338,7.53965
8.32609,13.5569,13.4298
0.43952,3.73373,2.80088
2.86121,5.95817,6.06464
0.153168,2.87967,2.41496
2.89873,4.63181,6.1152
1.71908,5.63134,4.52537
4.38073,9.08186,8.11252
7.70683,13.4743,12.5952
1.65039,5.17085,4.43279
0.646325,2.87394,3.07959
8.74207,14.1447,13.9904
4.24024,8.18109,7.92318
8.44942,11.7116,13.596
4.89969,7.79887,8.81194
1.86648,5.42643,4.72402
7.50483,12.5134,12.3229
7.15067,11.7796,11.8456
3.40135,6.71812,6.7926
5.40713,9.74532,9.49582
4.62044,7.90177,8.43559
1.53287,4.90816,4.27441
4.07196,7.95203,7.69639
5.13215,9.66094,9.12523
6.39839,10.3925,10.8318
0.672395,3.3074,3.11473
